t,infer,step,vx_raw,wz_raw
1784709632.3739,1,0,-0.00286,-0.00087
1784709632.3739,1,1,0.0043,-0.00073
1784709632.3739,1,2,0.00107,-0.00887
1784709632.3739,1,3,0.00261,-0.00418
1784709632.3739,1,4,-0.00096,0.00074
1784709632.3739,1,5,-0.00118,-0.00925
1784709632.3739,1,6,-0.00637,-0.02248
1784709632.3739,1,7,-0.00772,-0.02748
1784709632.3739,1,8,-0.00659,-0.0207
1784709632.3739,1,9,-0.00097,-0.0092
1784709632.3739,1,10,-0.00152,-0.01167
1784709632.3739,1,11,-0.00264,-0.01723
1784709632.3739,1,12,-0.00181,-0.01352
1784709632.3739,1,13,-0.00115,-0.01726
1784709632.3739,1,14,-0.0021,-0.01469
1784709632.3739,1,15,-0.00103,-0.01411
1784709632.3739,1,16,-0.00126,-0.01521
1784709632.3739,1,17,-0.00131,-0.01576
1784709632.3739,1,18,3e-05,-0.01244
1784709632.3739,1,19,-0.00213,-0.01798
1784709632.3739,1,20,0.00067,-0.01051
1784709632.3739,1,21,-0.00413,-0.01083
1784709632.3739,1,22,-0.00297,-0.0187
1784709632.3739,1,23,-0.00213,-0.01823
1784709632.3739,1,24,-0.00237,-0.02013
1784709632.3739,1,25,-0.00144,-0.01292
1784709632.3739,1,26,-0.00211,-0.00704
1784709632.3739,1,27,-0.00035,-0.00776
1784709632.3739,1,28,-0.00525,-0.01054
1784709632.3739,1,29,8e-05,-0.01367
1784709632.3739,1,30,-0.00304,-0.00942
1784709632.3739,1,31,-0.00294,-0.00801
1784709632.3739,1,32,-0.00012,-0.00554
1784709632.3739,1,33,-0.00206,-0.00918
1784709632.3739,1,34,-0.00052,-0.01162
1784709632.3739,1,35,-0.00127,-0.01445
1784709632.3739,1,36,-0.00062,-0.01145
1784709632.3739,1,37,-0.00038,-0.01103
1784709632.3739,1,38,-0.00041,-0.01518
1784709632.3739,1,39,-0.00227,-0.01544
1784709632.3739,1,40,-0.00348,-0.01904
1784709632.3739,1,41,-0.00195,-0.01575
1784709632.3739,1,42,-0.00157,-0.01594
1784709632.3739,1,43,-0.00191,-0.01297
1784709632.3739,1,44,-0.00239,-0.00428
1784709632.3739,1,45,-0.00222,-0.01516
