seq,anchor_robot_t,step,step_robot_t,vx,wz,dt
5014,175724.1741,28,175725.1074,0.0,0.0,0.03333
5014,175724.1741,29,175725.1407,0.0,0.0,0.03333
5014,175724.1741,30,175725.1741,0.0,0.0,0.03333
5014,175724.1741,31,175725.2074,0.0,0.0,0.03333
5015,175724.2768,0,175724.2768,0.0,0.0,0.03333
5015,175724.2768,1,175724.3101,0.0,0.0,0.03333
5015,175724.2768,2,175724.3435,0.0,0.0,0.03333
5015,175724.2768,3,175724.3768,0.0,0.0,0.03333
5015,175724.2768,4,175724.4101,0.0,0.0,0.03333
5015,175724.2768,5,175724.4435,0.0,0.0,0.03333
5015,175724.2768,6,175724.4768,0.0,0.0,0.03333
5015,175724.2768,7,175724.5101,0.0,0.0,0.03333
5015,175724.2768,8,175724.5435,0.0,0.0,0.03333
5015,175724.2768,9,175724.5768,0.0,0.0,0.03333
5015,175724.2768,10,175724.6101,0.0,0.0,0.03333
5015,175724.2768,11,175724.6435,0.0,0.0,0.03333
5015,175724.2768,12,175724.6768,0.0,0.0,0.03333
5015,175724.2768,13,175724.7101,0.0,0.0,0.03333
5015,175724.2768,14,175724.7435,0.0,0.0,0.03333
5015,175724.2768,15,175724.7768,0.0,0.0,0.03333
5015,175724.2768,16,175724.8101,0.0,0.0,0.03333
5015,175724.2768,17,175724.8435,0.0,0.0,0.03333
5015,175724.2768,18,175724.8768,0.0,0.0,0.03333
5015,175724.2768,19,175724.9101,0.0,0.0,0.03333
5015,175724.2768,20,175724.9435,0.0,0.0,0.03333
5015,175724.2768,21,175724.9768,0.0,0.0,0.03333
5015,175724.2768,22,175725.0101,0.0,0.0,0.03333
5015,175724.2768,23,175725.0435,0.0,0.0,0.03333
5015,175724.2768,24,175725.0768,0.0,0.0,0.03333
5015,175724.2768,25,175725.1101,0.0,0.0,0.03333
5015,175724.2768,26,175725.1435,0.0,0.0,0.03333
5015,175724.2768,27,175725.1768,0.0,0.0,0.03333
5015,175724.2768,28,175725.2101,0.0,0.0,0.03333
5015,175724.2768,29,175725.2435,0.0,0.0,0.03333
5015,175724.2768,30,175725.2768,0.0,0.0,0.03333
5015,175724.2768,31,175725.3101,0.0,0.0,0.03333
5016,175724.3812,0,175724.3812,0.0,0.0,0.03333
5016,175724.3812,1,175724.4145,0.0,0.0,0.03333
5016,175724.3812,2,175724.4479,0.0,0.0,0.03333
5016,175724.3812,3,175724.4812,0.0,0.0,0.03333
5016,175724.3812,4,175724.5145,0.0,0.0,0.03333
5016,175724.3812,5,175724.5479,0.0,0.0,0.03333
5016,175724.3812,6,175724.5812,0.0,0.0,0.03333
5016,175724.3812,7,175724.6145,0.0,0.0,0.03333
5016,175724.3812,8,175724.6479,0.0,0.0,0.03333
5016,175724.3812,9,175724.6812,0.0,0.0,0.03333
5016,175724.3812,10,175724.7145,0.0,0.0,0.03333
5016,175724.3812,11,175724.7479,0.0,0.0,0.03333
5016,175724.3812,12,175724.7812,0.0,0.0,0.03333
5016,175724.3812,13,175724.8145,0.0,0.0,0.03333
5016,175724.3812,14,175724.8479,0.0,0.0,0.03333
5016,175724.3812,15,175724.8812,0.0,0.0,0.03333
5016,175724.3812,16,175724.9145,0.0,0.0,0.03333
5016,175724.3812,17,175724.9479,0.0,0.0,0.03333
5016,175724.3812,18,175724.9812,0.0,0.0,0.03333
