seq,anchor_robot_t,step,step_robot_t,vx,wz,dt
23194,432128.5708,0,432128.5708,0.0,0.0,0.03333
23194,432128.5708,1,432128.6041,0.0,0.0,0.03333
23194,432128.5708,2,432128.6374,0.0,0.0,0.03333
23194,432128.5708,3,432128.6708,0.0,0.0,0.03333
23194,432128.5708,4,432128.7041,0.0,0.0,0.03333
23194,432128.5708,5,432128.7374,0.0,0.0,0.03333
23194,432128.5708,6,432128.7708,0.0,0.0,0.03333
23194,432128.5708,7,432128.8041,0.0,0.0,0.03333
23194,432128.5708,8,432128.8374,0.0,0.0,0.03333
23194,432128.5708,9,432128.8708,0.0,0.0,0.03333
23194,432128.5708,10,432128.9041,0.0,0.0,0.03333
23194,432128.5708,11,432128.9374,0.0,0.0,0.03333
23194,432128.5708,12,432128.9708,0.0,0.0,0.03333
23194,432128.5708,13,432129.0041,0.0,0.0,0.03333
23194,432128.5708,14,432129.0374,0.0,0.0,0.03333
23194,432128.5708,15,432129.0708,0.0,0.0,0.03333
23194,432128.5708,16,432129.1041,0.0,0.0,0.03333
23194,432128.5708,17,432129.1374,0.0,0.0,0.03333
23194,432128.5708,18,432129.1708,0.0,0.0,0.03333
23194,432128.5708,19,432129.2041,0.0,0.0,0.03333
23194,432128.5708,20,432129.2374,0.0,0.0,0.03333
23194,432128.5708,21,432129.2708,0.0,0.0,0.03333
23194,432128.5708,22,432129.3041,0.0,0.0,0.03333
23194,432128.5708,23,432129.3374,0.0,0.0,0.03333
23194,432128.5708,24,432129.3708,0.0,0.0,0.03333
23194,432128.5708,25,432129.4041,0.0,0.0,0.03333
23194,432128.5708,26,432129.4374,0.0,0.0,0.03333
23194,432128.5708,27,432129.4708,0.0,0.0,0.03333
23194,432128.5708,28,432129.5041,0.0,0.0,0.03333
23194,432128.5708,29,432129.5374,0.0,0.0,0.03333
23194,432128.5708,30,432129.5708,0.0,0.0,0.03333
23194,432128.5708,31,432129.6041,0.0,0.0,0.03333
23195,432128.672,0,432128.672,0.0,0.0,0.03333
23195,432128.672,1,432128.7053,0.0,0.0,0.03333
